Alloy_or_not,Pt_or_not,Weight_ratio (wt%),Particle_size (nm),Surface_area (m2/g),N_doped (at%),pH,Current_density (mA/cm2),Overpotential (mV)
0,1,0.34,1,89.4,0,0.3,10,23
0,1,0.34,1,89.4,0,0.3,20,41
0,1,0.34,1,89.4,0,0.3,40,62
0,1,0.34,1,89.4,0,0.3,50,70
0,1,0.34,1,89.4,0,0.3,100,112
0,1,0.34,1,89.4,0,0.3,150,158
0,1,0.34,1,89.4,0,0.3,200,201
0,1,4.8,4.75,426,4.3,0.3,10,38
0,1,4.8,4.75,426,4.3,0.3,20,50
0,1,4.8,4.75,426,4.3,0.3,40,76
0,1,4.8,4.75,426,4.3,0.3,50,89
0,1,4.8,3.05,426,4.3,0.3,10,34
0,1,4.8,3.05,426,4.3,0.3,20,44
0,1,4.8,3.05,426,4.3,0.3,40,66
0,1,4.8,3.05,426,4.3,0.3,50,75.6
0,1,4.8,2.85,426,4.3,0.3,10,35
0,1,4.8,2.85,426,4.3,0.3,20,47
0,1,4.8,2.85,426,4.3,0.3,40,71
0,1,4.8,2.85,426,4.3,0.3,50,83
1,1,3.9,1.6,1349,0,0.3,100,134
1,1,3.9,1.6,1349,0,0.3,80,122
1,1,3.9,1.6,1349,0,0.3,60,108
1,1,3.9,1.6,1349,0,0.3,50,100
1,1,3.9,1.6,1349,0,0.3,40,91
1,1,3.9,1.6,1349,0,0.3,20,65
1,1,3.9,1.6,1349,0,0.3,10,43.7
1,1,2.5,1.6,1349,0,0.3,100,146
1,1,2.5,1.6,1349,0,0.3,80,134
1,1,2.5,1.6,1349,0,0.3,60,119
1,1,2.5,1.6,1349,0,0.3,50,111
1,1,2.5,1.6,1349,0,0.3,40,102
1,1,2.5,1.6,1349,0,0.3,20,75.5
1,1,2.5,1.6,1349,0,0.3,10,55.3
0,1,10,3.5,254,0,0.3,10,30
0,1,5.2,1.6,1349,0,0.3,10,33
0,1,5.2,1.6,1349,0,0.3,20,43
0,1,5.2,1.6,1349,0,0.3,40,56
0,1,5.2,1.6,1349,0,0.3,50,61
0,1,5.2,1.6,1349,0,0.3,100,78
0,1,3.8,2,500,18,0.3,10,39
0,1,3.8,2,500,18,0.3,20,48
0,1,3.8,2,500,18,0.3,40,64
0,1,3.8,2,500,18,0.3,50,71
0,1,3.8,2,500,18,0.3,100,104
0,1,2.54,0.35,500,18,0.3,10,26
0,1,2.54,0.35,500,18,0.3,20,34
0,1,2.54,0.35,500,18,0.3,40,40
0,1,2.54,0.35,500,18,0.3,50,43
0,1,2.54,0.35,500,18,0.3,100,53
0,1,0.44,0.35,900,2.75,0.3,10,12
0,1,0.44,0.35,900,2.75,0.3,20,20
0,1,0.44,0.35,900,2.75,0.3,40,30
0,1,0.44,0.35,900,2.75,0.3,50,37
0,1,0.44,0.35,900,2.75,14,10,7
0,1,0.44,0.35,900,2.75,14,20,16
0,1,0.44,0.35,900,2.75,14,40,31
